Entry	Entry Name	Protein families
A0A9W9Z0C1	A0A9W9Z0C1_9CNID	ATPase F chain family
A0A9W9Z0Z7	A0A9W9Z0Z7_9CNID	PET117 family
A0A9W9Z126	A0A9W9Z126_9CNID	
A0A9W9Z153	A0A9W9Z153_9CNID	MOZART1 family
A0A9W9Z1G8	A0A9W9Z1G8_9CNID	Helicase family, RecQ subfamily
A0A9W9Z2P5	A0A9W9Z2P5_9CNID	NSE1 family
A0A9W9Z2S0	A0A9W9Z2S0_9CNID	
A0A9W9Z4D0	A0A9W9Z4D0_9CNID	Deltex family
A0A9W9Z5S9	A0A9W9Z5S9_9CNID	Xylose isomerase family
A0A9W9Z895	A0A9W9Z895_9CNID	CENP-T/CNN1 family
A0A9W9Z8S0	A0A9W9Z8S0_9CNID	ATP-dependent AMP-binding enzyme family
A0A9W9Z9L9	A0A9W9Z9L9_9CNID	Cytochrome c oxidase subunit 5A family
A0A9W9ZAJ2	A0A9W9ZAJ2_9CNID	SnRNP Sm proteins family
A0A9W9ZAP7	A0A9W9ZAP7_9CNID	ENY2 family
A0A9W9ZCG1	A0A9W9ZCG1_9CNID	SnRNP Sm proteins family
A0A9W9ZCG7	A0A9W9ZCG7_9CNID	LAMTOR5 family
A0A9W9ZCS8	A0A9W9ZCS8_9CNID	ALG10 glucosyltransferase family
A0A9W9ZCX6	A0A9W9ZCX6_9CNID	
A0A9W9ZDQ8	A0A9W9ZDQ8_9CNID	Triosephosphate isomerase family
A0A9W9ZEI2	A0A9W9ZEI2_9CNID	GFRP family
A0A9W9ZEZ0	A0A9W9ZEZ0_9CNID	SCC4/mau-2 family
A0A9W9ZG60	A0A9W9ZG60_9CNID	RNase PH family
A0A9W9ZH84	A0A9W9ZH84_9CNID	ENTR1 family
A0A9W9ZHE9	A0A9W9ZHE9_9CNID	
A0A9W9ZIG6	A0A9W9ZIG6_9CNID	APC13 family
A0A9W9ZIP5	A0A9W9ZIP5_9CNID	SnRNP Sm proteins family
A0A9W9ZJT6	A0A9W9ZJT6_9CNID	DSS1/SEM1 family
A0A9W9ZKH9	A0A9W9ZKH9_9CNID	TVP23 family
A0A9W9ZM81	A0A9W9ZM81_9CNID	SnRNP Sm proteins family, SmF/LSm6 subfamily
A0A9W9ZME2	A0A9W9ZME2_9CNID	Pyridoxamine 5'-phosphate oxidase family
A0A9W9ZNB4	A0A9W9ZNB4_9CNID	Tyrosyl-DNA phosphodiesterase family
A0A9W9ZP89	A0A9W9ZP89_9CNID	Battenin family
A0A9W9ZPZ0	A0A9W9ZPZ0_9CNID	Mitochondrial pyruvate carrier (MPC) (TC 2.A.105) family
A0A9W9ZQA9	A0A9W9ZQA9_9CNID	ATPase e subunit family
A0A9W9ZQS9	A0A9W9ZQS9_9CNID	MGR2 family
A0A9W9ZT91	A0A9W9ZT91_9CNID	
A0A9W9ZTF1	A0A9W9ZTF1_9CNID	CAMP-dependent kinase regulatory chain family
A0A9W9ZTV7	A0A9W9ZTV7_9CNID	Proline oxidase family
A0A9W9ZU13	A0A9W9ZU13_9CNID	Small Tim family
A0A9W9ZUG2	A0A9W9ZUG2_9CNID	COPE family
A0A9W9ZUJ5	A0A9W9ZUJ5_9CNID	ATP-dependent DNA ligase family
A0A9W9ZV59	A0A9W9ZV59_9CNID	Aminoglycoside phosphotransferase family
A0A9W9ZVE7	A0A9W9ZVE7_9CNID	VKOR family
A0A9W9ZYM3	A0A9W9ZYM3_9CNID	Phospholipase A2 family
A0A9W9ZZ42	A0A9W9ZZ42_9CNID	Methyltransferase TRM13 family
A0A9W9ZZ80	A0A9W9ZZ80_9CNID	GroES chaperonin family
A0A9W9ZZ98	A0A9W9ZZ98_9CNID	
A0A9W9ZZF1	A0A9W9ZZF1_9CNID	
A0A9W9ZZN0	A0A9W9ZZN0_9CNID	G protein gamma family
A0A9X0A3V6	A0A9X0A3V6_9CNID	
A0A9X0A414	A0A9X0A414_9CNID	Caveolin family
A0A9X0A5W4	A0A9X0A5W4_9CNID	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family
A0A9X0CDX1	A0A9X0CDX1_9CNID	MsrB Met sulfoxide reductase family
A0A9X0CF15	A0A9X0CF15_9CNID	
A0A9X0CFB0	A0A9X0CFB0_9CNID	
A0A9X0CFK7	A0A9X0CFK7_9CNID	ERF4 family
A0A9X0CG02	A0A9X0CG02_9CNID	SPCS1 family
A0A9X0CGW4	A0A9X0CGW4_9CNID	
A0A9X0CHQ2	A0A9X0CHQ2_9CNID	AB hydrolase superfamily, LDAH family
A0A9X0CIR8	A0A9X0CIR8_9CNID	Sulfotransferase 2 family
A0A9X0CIT4	A0A9X0CIT4_9CNID	Enolase family
A0A9X0CKR9	A0A9X0CKR9_9CNID	SnRNP Sm proteins family
A0A9X0CLD5	A0A9X0CLD5_9CNID	
A0A9X0CLI6	A0A9X0CLI6_9CNID	F-actin-capping protein alpha subunit family
A0A9X0CN39	A0A9X0CN39_9CNID	Nucleoporin Nup85 family
A0A9X0CNC3	A0A9X0CNC3_9CNID	
A0A9X0CPV6	A0A9X0CPV6_9CNID	
A0A9X0CQ18	A0A9X0CQ18_9CNID	
A0A9X0CQW2	A0A9X0CQW2_9CNID	
A0A9X0CSN2	A0A9X0CSN2_9CNID	COX19 family
A0A9X0CTN6	A0A9X0CTN6_9CNID	ALG6/ALG8 glucosyltransferase family
A0A9X0CTS4	A0A9X0CTS4_9CNID	
A0A9X0CTY7	A0A9X0CTY7_9CNID	TMCO1 family
A0A9X0CU41	A0A9X0CU41_9CNID	
A0A9X0CUG7	A0A9X0CUG7_9CNID	RNase PH family
A0A9X0CUS2	A0A9X0CUS2_9CNID	HMG-CoA lyase family
A0A9X0CVQ2	A0A9X0CVQ2_9CNID	ATPase gamma chain family
A0A9X0CW08	A0A9X0CW08_9CNID	SnRNP Sm proteins family
A0A9X0CYG7	A0A9X0CYG7_9CNID	
A0A9X0CZP3	A0A9X0CZP3_9CNID	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily
A0A9X0D1Q8	A0A9X0D1Q8_9CNID	G protein gamma family
A0A9X0D2Y1	A0A9X0D2Y1_9CNID	
A0A9X0D328	A0A9X0D328_9CNID	FAN1 family
A0A9X0D392	A0A9X0D392_9CNID	
A0A9X0D4B7	A0A9X0D4B7_9CNID	Deltex family
A0A9X0D4Q2	A0A9X0D4Q2_9CNID	
A0A9X0D4S3	A0A9X0D4S3_9CNID	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
A0A9X0D4Z7	A0A9X0D4Z7_9CNID	
A0A9X0D787	A0A9X0D787_9CNID	MIF family
A0A9X0D7D4	A0A9X0D7D4_9CNID	Glycosyltransferase 65 family
A0A9X0D7T3	A0A9X0D7T3_9CNID	Acylphosphatase family
A0A9X0D9C2	A0A9X0D9C2_9CNID	Small Tim family
A0A9X0D9S8	A0A9X0D9S8_9CNID	PpiC/parvulin rotamase family, PIN4 subfamily
A0A9X0DBD8	A0A9X0DBD8_9CNID	Class-II aminoacyl-tRNA synthetase family, Type 2 subfamily
A0A9X0DD93	A0A9X0DD93_9CNID	POC5 family
A0AA49QBI3	A0AA49QBI3_9CNID	Complex I subunit 4L family
A0AA51NGX7	A0AA51NGX7_9CNID	Complex I subunit 6 family
A0AA51NGY1	A0AA51NGY1_9CNID	Complex I subunit 6 family
A0AA51NGY9	A0AA51NGY9_9CNID	Complex I subunit 6 family
A0AA51NHK1	A0AA51NHK1_9CNID	Heme-copper respiratory oxidase family
A0AA51NPQ8	A0AA51NPQ8_9CNID	Complex I subunit 4L family
A0AA51RHZ0	A0AA51RHZ0_9CNID	Complex I subunit 6 family
A0AA96KGS0	A0AA96KGS0_9CNID	Complex I subunit 4L family
A0AAD9PPH6	A0AAD9PPH6_ACRCE	Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily
A0AAD9PRP2	A0AAD9PRP2_ACRCE	Frataxin family
A0AAD9PS32	A0AAD9PS32_ACRCE	DPM3 family
A0AAD9PT19	A0AAD9PT19_ACRCE	Small Tim family
A0AAD9PUT4	A0AAD9PUT4_ACRCE	MGR2 family
A0AAD9PW23	A0AAD9PW23_ACRCE	Small Tim family
A0AAD9PX87	A0AAD9PX87_ACRCE	Peptidase S26 family, IMP2 subfamily
A0AAD9PYT9	A0AAD9PYT9_ACRCE	Phospholipase A2 family
A0AAD9PZV0	A0AAD9PZV0_ACRCE	Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family
A0AAD9Q1C8	A0AAD9Q1C8_ACRCE	DPH3 family
A0AAD9Q3G7	A0AAD9Q3G7_ACRCE	Complex I NDUFS5 subunit family
A0AAD9Q4G7	A0AAD9Q4G7_ACRCE	SnRNP Sm proteins family, SmF/LSm6 subfamily
A0AAD9Q509	A0AAD9Q509_ACRCE	ELOF1 family
A0AAD9Q823	A0AAD9Q823_ACRCE	Mediator complex subunit 21 family
A0AAD9Q826	A0AAD9Q826_ACRCE	ATX1 family
A0AAD9Q8Y2	A0AAD9Q8Y2_ACRCE	CNEP1R1 family
A0AAD9Q9P4	A0AAD9Q9P4_ACRCE	SSU72 phosphatase family
A0AAD9QAP6	A0AAD9QAP6_ACRCE	SPCS1 family
A0AAD9QAX8	A0AAD9QAX8_ACRCE	TFB5 family
A0AAD9QBB8	A0AAD9QBB8_ACRCE	Cyclophilin-type PPIase family
A0AAD9QBY4	A0AAD9QBY4_ACRCE	Cu-Zn superoxide dismutase family
A0AAD9QDD0	A0AAD9QDD0_ACRCE	OST5 family
A0AAD9QEA8	A0AAD9QEA8_ACRCE	Cytochrome P450 family
A0AAD9QFA7	A0AAD9QFA7_ACRCE	SRP9 family
A0AAD9QGZ4	A0AAD9QGZ4_ACRCE	GAMAD family
A0AAD9QHA8	A0AAD9QHA8_ACRCE	CRIPT family
A0AAD9QHR3	A0AAD9QHR3_ACRCE	Beclin family
A0AAD9QHX3	A0AAD9QHX3_ACRCE	IST1 family
A0AAD9QI52	A0AAD9QI52_ACRCE	Complex I NDUFB3 subunit family
A0AAD9QID9	A0AAD9QID9_ACRCE	Bacterial ribosomal protein bL33 family
A0AAD9QK22	A0AAD9QK22_ACRCE	
A0AAD9QL49	A0AAD9QL49_ACRCE	Small Tim family
A0AAD9QLV0	A0AAD9QLV0_ACRCE	SnRNP Sm proteins family
A0AAD9QM93	A0AAD9QM93_ACRCE	KISH family
A0AAD9QNG9	A0AAD9QNG9_ACRCE	ING family
A0AAD9QPM2	A0AAD9QPM2_ACRCE	CDC42SE/SPEC family
A0AAD9QRS7	A0AAD9QRS7_ACRCE	CDC26 family
A0AAD9QSB1	A0AAD9QSB1_ACRCE	MOZART1 family
A0AAD9QW11	A0AAD9QW11_ACRCE	Mediator complex subunit 9 family
A0AAD9QW55	A0AAD9QW55_ACRCE	
A0AAD9QW87	A0AAD9QW87_ACRCE	G protein gamma family
A0AAD9QWY3	A0AAD9QWY3_ACRCE	SMDT1/EMRE family
A0AAD9QXQ1	A0AAD9QXQ1_ACRCE	EMC6 family
A0AAD9QXU7	A0AAD9QXU7_ACRCE	Eukaryotic ribosomal protein eS28 family
A0AAD9QYC8	A0AAD9QYC8_ACRCE	Complex I NDUFA7 subunit family
A0AAD9R1B6	A0AAD9R1B6_ACRCE	Helicase family, RecQ subfamily
A0AAD9R210	A0AAD9R210_ACRCE	SnRNP Sm proteins family
A0AAD9R2E4	A0AAD9R2E4_ACRCE	LAMTOR5 family
A0AAD9R375	A0AAD9R375_ACRCE	G protein gamma family
A0AAD9R379	A0AAD9R379_ACRCE	CFAP206 family
A0AAD9R430	A0AAD9R430_ACRCE	G protein gamma family
A0AAD9R6C8	A0AAD9R6C8_ACRCE	Archaeal Rpo10/eukaryotic RPB10 RNA polymerase subunit family
A0AAD9R6G4	A0AAD9R6G4_ACRCE	PpiC/parvulin rotamase family, PIN4 subfamily
A0AAD9R6Q4	A0AAD9R6Q4_ACRCE	UQCR10/QCR9 family
A0AAD9UVL5	A0AAD9UVL5_ACRCE	Eukaryotic ribosomal protein eL22 family
A0AAD9UWT3	A0AAD9UWT3_ACRCE	Eukaryotic ribosomal protein eL36 family
A0AAD9UXQ8	A0AAD9UXQ8_ACRCE	RNase PH family
A0AAD9UXX0	A0AAD9UXX0_ACRCE	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
A0AAD9V2H9	A0AAD9V2H9_ACRCE	DSS1/SEM1 family
A0AAD9V3I8	A0AAD9V3I8_ACRCE	Archaeal Rpo12/eukaryotic RPC10 RNA polymerase subunit family
A0AAD9V4L2	A0AAD9V4L2_ACRCE	Small Tim family
A0AAD9V578	A0AAD9V578_ACRCE	G protein gamma family
A0AAD9V7A2	A0AAD9V7A2_ACRCE	UQCRQ/QCR8 family
A0AAD9V7D9	A0AAD9V7D9_ACRCE	CFAP52 family
A0AAD9V8D2	A0AAD9V8D2_ACRCE	
A0AAD9V8J8	A0AAD9V8J8_ACRCE	SnRNP Sm proteins family
A0AAD9VBP9	A0AAD9VBP9_ACRCE	G protein gamma family
A0AAD9VF05	A0AAD9VF05_ACRCE	SnRNP Sm proteins family, SmF/LSm6 subfamily
A0AAD9VFR3	A0AAD9VFR3_ACRCE	
A0AAU9VVV7	A0AAU9VVV7_9CNID	Short-chain dehydrogenases/reductases (SDR) family, 2,4-dienoyl-CoA reductase subfamily
A0AAU9VYZ7	A0AAU9VYZ7_9CNID	DPM2 family
A0AAU9WFV3	A0AAU9WFV3_9CNID	Complex I NDUFS5 subunit family
A0AAU9X4D4	A0AAU9X4D4_9CNID	SPCS1 family
A0AAU9X5Q4	A0AAU9X5Q4_9CNID	DPM3 family
A0AAU9X5S6	A0AAU9X5S6_9CNID	Complex I NDUFA3 subunit family
A0AAU9X7R1	A0AAU9X7R1_9CNID	MsrB Met sulfoxide reductase family
A0AAU9XUK7	A0AAU9XUK7_9CNID	MGR2 family
A0AAU9Y206	A0AAU9Y206_9CNID	DPH1/DPH2 family, DPH1 subfamily
A2T3F1	A2T3F1_9CNID	Complex I subunit 4L family
A3F9E1	A3F9E1_9CNID	Histone H2A family
A3F9E3	A3F9E3_9CNID	Histone H2A family
A3F9E5	A3F9E5_MONEF	Histone H2A family
A3F9E7	A3F9E7_9CNID	Histone H2A family
A3F9E9	A3F9E9_9CNID	Histone H2A family
A3F9F1	A3F9F1_9CNID	Histone H2A family
A3F9F3	A3F9F3_9CNID	Histone H2A family
A3F9F5	A3F9F5_ACRVA	Histone H2A family
A3F9F7	A3F9F7_ACRHU	Histone H2A family
A3F9G1	A3F9G1_9CNID	Histone H2A family
A3F9G3	A3F9G3_9CNID	Histone H2A family
A3F9G5	A3F9G5_9CNID	Histone H2A family
A3F9G9	A3F9G9_9CNID	Histone H2A family
A3F9H1	A3F9H1_9CNID	Histone H2A family
A6MEX1	A6MEX1_IRIMG	Heme-copper respiratory oxidase family
A7RET3	A7RET3_NEMVE	
A7REW2	A7REW2_NEMVE	CDC42SE/SPEC family
A7RFH2	A7RFH2_NEMVE	SCOC family
A7RFL3	AEQL1_NEMVE	
A7RFN4	A7RFN4_NEMVE	
A7RFQ5	A7RFQ5_NEMVE	
A7RFR4	A7RFR4_NEMVE	Paired homeobox family, Bicoid subfamily
A7RG10	A7RG10_NEMVE	KISH family
A7RG38	A7RG38_NEMVE	H2.0 homeobox family
A7RGB6	A7RGB6_NEMVE	SEC61-beta family
A7RGJ8	A7RGJ8_NEMVE	Msh homeobox family
A7RGS2	A7RGS2_NEMVE	Complex I subunit 4L family
A7RHA7	A7RHA7_NEMVE	G-alpha family, G(s) subfamily
A7RHV2	A7RHV2_NEMVE	SnRNP Sm proteins family
A7RI73	A7RI73_NEMVE	Msh homeobox family
A7RI78	A7RI78_NEMVE	HMX homeobox family
A7RII3	A7RII3_NEMVE	NFYA/HAP2 subunit family
A7RII4	A7RII4_NEMVE	SnRNP Sm proteins family
A7RIQ2	A7RIQ2_NEMVE	SnRNP Sm proteins family
A7RIR0	A7RIR0_NEMVE	TFIIF alpha subunit family
A7RIX1	A7RIX1_NEMVE	
A7RJI5	A7RJI5_NEMVE	G protein gamma family
A7RJL2	A7RJL2_NEMVE	Histone H1/H5 family
A7RJL7	A7RJL7_NEMVE	
A7RJM3	A7RJM3_NEMVE	Histone H1/H5 family
A7RJM8	A7RJM8_NEMVE	Histone H2B family
A7RJN1	A7RJN1_NEMVE	Histone H1/H5 family
A7RJP3	A7RJP3_NEMVE	Histone H1/H5 family
A7RKL6	A7RKL6_NEMVE	RBM8A family
A7RLI1	A7RLI1_NEMVE	MGR2 family
A7RM48	A7RM48_NEMVE	UQCR10/QCR9 family
A7RM59	A7RM59_NEMVE	Small Tim family
A7RN55	A7RN55_NEMVE	
A7RN57	A7RN57_NEMVE	UFM1 family
A7RP07	A7RP07_NEMVE	Bacterial ribosomal protein bL33 family
A7RPX8	A7RPX8_NEMVE	Histone H1/H5 family
A7RPZ8	A7RPZ8_NEMVE	
A7RQI7	A7RQI7_NEMVE	BZIP family, Jun subfamily
A7RQU6	A7RQU6_NEMVE	
A7RR14	A7RR14_NEMVE	CybS family
A7RR57	A7RR57_NEMVE	RING-box family
A7RRE7	A7RRE7_NEMVE	Complex I NDUFS6 subunit family
A7RRR7	A7RRR7_NEMVE	
A7RRS8	A7RRS8_NEMVE	
A7RSA5	A7RSA5_NEMVE	CKS family
A7RSE3	A7RSE3_NEMVE	YOS1 family
A7RSF3	A7RSF3_NEMVE	Histone H1/H5 family
A7RSZ6	A7RSZ6_NEMVE	ETS family
A7RT12	A7RT12_NEMVE	Seminal plasma protein family
A7RT29	LTOR5_NEMVE	LAMTOR5 family
A7RTS0	A7RTS0_NEMVE	Complex I NDUFB7 subunit family
A7RU95	A7RU95_NEMVE	
A7RUI2	A7RUI2_NEMVE	EGF domain peptide family
A7RUL7	A7RUL7_NEMVE	FOXJ1 family
A7RUS3	A7RUS3_NEMVE	RNA polymerase beta chain family
A7RVI5	A7RVI5_NEMVE	Dynein light chain family
A7RVK6	A7RVK6_NEMVE	SRY family
A7RVP0	A7RVP0_NEMVE	Complex I NDUFA2 subunit family
A7RVQ3	A7RVQ3_NEMVE	Small Tim family
A7RX20	A7RX20_NEMVE	SnRNP Sm proteins family, SmF/LSm6 subfamily
A7RX78	A7RX78_NEMVE	
A7RXA0	A7RXA0_NEMVE	ELOF1 family
A7RYA8	A7RYA8_NEMVE	
A7RYB8	A7RYB8_NEMVE	ETS family
A7RYM6	SMC4A_NEMVE	SMCO4 family
A7RYM7	SMC4B_NEMVE	SMCO4 family
A7RZX7	A7RZX7_NEMVE	GAMAD family
A7S066	A7S066_NEMVE	Glycosyltransferase 68 family
A7S0S2	A7S0S2_NEMVE	
A7S0W7	A7S0W7_NEMVE	
A7S1E2	A7S1E2_NEMVE	H2.0 homeobox family
A7S236	A7S236_NEMVE	DHHC palmitoyltransferase family
A7S249	A7S249_NEMVE	Universal ribosomal protein uS14 family
A7S289	A7S289_NEMVE	SecE/SEC61-gamma family
A7S298	A7S298_NEMVE	Complex I NDUFB3 subunit family
A7S2C3	A7S2C3_NEMVE	Complex I NDUFS5 subunit family
A7S2E7	A7S2E7_NEMVE	EGF domain peptide family
A7S2T4	A7S2T4_NEMVE	TALE/IRO homeobox family
A7S3I2	BBIP1_NEMVE	BBIP10 family
A7S3U4	A7S3U4_NEMVE	NOP10 family
A7S494	A7S494_NEMVE	Eukaryotic ribosomal protein eS27 family
A7S4U3	A7S4U3_NEMVE	
A7S4W7	A7S4W7_NEMVE	
A7S544	A7S544_NEMVE	
A7S5B1	A7S5B1_NEMVE	DHHC palmitoyltransferase family
A7S636	A7S636_NEMVE	UQCRQ/QCR8 family
A7S6M4	A7S6M4_NEMVE	CKS family
A7S6M8	LTOR4_NEMVE	LAMTOR4 family
A7S6P9	A7S6P9_NEMVE	ING family
A7S6X8	A7S6X8_NEMVE	ATX1 family
A7S6Y6	A7S6Y6_NEMVE	
A7S6Y9	A7S6Y9_NEMVE	Cytochrome b5 family
A7S6Z5	A7S6Z5_NEMVE	Histone H1/H5 family
A7S826	A7S826_NEMVE	TRNA-intron endonuclease family
A7S9E3	A7S9E3_NEMVE	KISH family
A7S9R5	A7S9R5_NEMVE	EGF domain peptide family
A7S9X0	A7S9X0_NEMVE	RNA polymerase beta' chain family
A7S9Z3	A7S9Z3_NEMVE	BRK1 family
A7SAT2	A7SAT2_NEMVE	SnRNP Sm proteins family
A7SB15	A7SB15_NEMVE	
A7SBE9	A7SBE9_NEMVE	Archaeal Rpo11/eukaryotic RPB11/RPC19 RNA polymerase subunit family
A7SC09	A7SC09_NEMVE	SRY family
A7SCD4	A7SCD4_NEMVE	Paired homeobox family
A7SCW5	A7SCW5_NEMVE	
A7SDA4	A7SDA4_NEMVE	
A7SDE7	A7SDE7_NEMVE	
A7SDF7	A7SDF7_NEMVE	
A7SDI8	A7SDI8_NEMVE	Eukaryotic ribosomal protein eL37 family
A7SDL6	A7SDL6_NEMVE	Bcl-2 family
A7SE29	A7SE29_NEMVE	
A7SEF7	A7SEF7_NEMVE	RAMP4 family
A7SES1	A7SES1_NEMVE	CDIP1/LITAF family
A7SGC7	A7SGC7_NEMVE	Histone H1/H5 family
A7SGI2	A7SGI2_NEMVE	
A7SH39	A7SH39_NEMVE	Class-II aminoacyl-tRNA synthetase family
A7SHA3	A7SHA3_NEMVE	DPM2 family
A7SHE3	A7SHE3_NEMVE	
A7SHX6	A7SHX6_NEMVE	Histone H1/H5 family
A7SHX9	A7SHX9_NEMVE	Histone H1/H5 family
A7SI10	A7SI10_NEMVE	
A7SI97	A7SI97_NEMVE	G protein gamma family
A7SJC0	A7SJC0_NEMVE	RING-box family
A7SJD9	A7SJD9_NEMVE	
A7SJN1	A7SJN1_NEMVE	SRY family
A7SJY7	A7SJY7_NEMVE	HSBP1 family
A7SK98	A7SK98_NEMVE	Histone H2A family
A7SK99	A7SK99_NEMVE	Histone H2B family
A7SL30	A7SL30_NEMVE	
A7SLB2	A7SLB2_NEMVE	Histone H1/H5 family
A7SLP4	A7SLP4_NEMVE	Archaeal Rpo10/eukaryotic RPB10 RNA polymerase subunit family
A7SLR2	A7SLR2_NEMVE	DPH3 family
A7SMZ7	A7SMZ7_NEMVE	GAMAD family
A7SN85	A7SN85_NEMVE	DEAD box helicase family
A7SNR1	A7SNR1_NEMVE	SnRNP Sm proteins family
A7SNU6	A7SNU6_NEMVE	
A7SPG3	A7SPG3_NEMVE	CKS family
A7SPX0	A7SPX0_NEMVE	V-ATPase e1/e2 subunit family
A7SQA5	A7SQA5_NEMVE	Mitochondrion-specific ribosomal protein mS33 family
A7SQJ6	A7SQJ6_NEMVE	TFB5 family
A7SQP4	A7SQP4_NEMVE	
A7SQP6	A7SQP6_NEMVE	
A7SRC4	A7SRC4_NEMVE	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
A7SRZ6	A7SRZ6_NEMVE	Small Tim family
A7SRZ8	A7SRZ8_NEMVE	SRY family
A7SSQ8	A7SSQ8_NEMVE	CRIPT family
A7SSQ9	A7SSQ9_NEMVE	Mitochondrion-specific ribosomal protein mL49 family
A7ST18	A7ST18_NEMVE	Complex I NDUFB7 subunit family
A7ST51	A7ST51_NEMVE	Eukaryotic ribosomal protein eL24 family
A7ST80	SHKL4_NEMVE	
A7STD5	A7STD5_NEMVE	
A7SU86	A7SU86_NEMVE	BRI3 family
A7SUA3	A7SUA3_NEMVE	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family
A7SUK1	A7SUK1_NEMVE	Archaeal Rpo12/eukaryotic RPC10 RNA polymerase subunit family
A7SUR0	A7SUR0_NEMVE	Eukaryotic ribosomal protein eL24 family
A7SUU3	A7SUU3_NEMVE	SnRNP Sm proteins family, SmF/LSm6 subfamily
A7SVU1	A7SVU1_NEMVE	TRIAP1/MDM35 family
A7SVZ6	A7SVZ6_NEMVE	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
A7SW52	A7SW52_NEMVE	GFRP family
A7SW55	A7SW55_NEMVE	
A7SW81	A7SW81_NEMVE	OST5 family
A7SWD7	A7SWD7_NEMVE	
A7SWD8	A7SWD8_NEMVE	
A7SWH0	A7SWH0_NEMVE	
A7SWY7	A7SWY7_NEMVE	Cytochrome P450 family
A7SXI3	A7SXI3_NEMVE	Cystinosin family
A7SY88	A7SY88_NEMVE	
A7SYA5	A7SYA5_NEMVE	Archaeal Rpo6/eukaryotic RPB6 RNA polymerase subunit family
A7SYF9	A7SYF9_NEMVE	
A7SYZ1	A7SYZ1_NEMVE	
A7SZA0	A7SZA0_NEMVE	Eukaryotic ribosomal protein eL24 family
A7SZD8	A7SZD8_NEMVE	Eukaryotic ribosomal protein eL24 family
A7SZL8	A7SZL8_NEMVE	
A7SZS6	A7SZS6_NEMVE	Histone H2A family
A7T039	A7T039_NEMVE	Complex I subunit 4 family
A7T0Q2	A7T0Q2_NEMVE	
A7T0Q3	A7T0Q3_NEMVE	
A7T0Q4	A7T0Q4_NEMVE	
A7T105	A7T105_NEMVE	BolA/IbaG family
A7T1D2	A7T1D2_NEMVE	
A7T1K9	A7T1K9_NEMVE	Histone H1/H5 family
A7T1L2	A7T1L2_NEMVE	Histone H2B family
A7T1M0	A7T1M0_NEMVE	RBM8A family
A7T1P4	A7T1P4_NEMVE	Cytochrome P450 family
A7T2L1	A7T2L1_NEMVE	DEAD box helicase family
A7T2U2	A7T2U2_NEMVE	Glycosyltransferase 49 family
A7T316	A7T316_NEMVE	Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family
A7T3F6	A7T3F6_NEMVE	MGMT family
A7T3P8	A7T3P8_NEMVE	
A7T3S1	A7T3S1_NEMVE	
A7T439	A7T439_NEMVE	Dihydrofolate reductase family
A7T471	A7T471_NEMVE	PA28 family
A7T477	A7T477_NEMVE	
A7T4A5	A7T4A5_NEMVE	
A7T4U4	A7T4U4_NEMVE	Histone H3 family
A7T516	A7T516_NEMVE	TRAPP small subunits family, BET3 subfamily
A7T549	A7T549_NEMVE	Ubiquitin-conjugating enzyme family
A7T5Q4	A7T5Q4_NEMVE	ADP-ribosylglycohydrolase family
A7T5T2	A7T5T2_NEMVE	TCP-1 chaperonin family
A7T6D1	A7T6D1_NEMVE	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
A7T6D6	A7T6D6_NEMVE	Class-I aminoacyl-tRNA synthetase family
A7T6P3	A7T6P3_NEMVE	
A7T6U7	A7T6U7_NEMVE	
A7T6W5	A7T6W5_NEMVE	Glucose-1-phosphate thymidylyltransferase family
A7T707	A7T707_NEMVE	Cytochrome P450 family
A7T713	A7T713_NEMVE	EGF domain peptide family
A7T773	A7T773_NEMVE	Phospholipase A2 family
A7T7B8	A7T7B8_NEMVE	Eukaryotic ribosomal protein eL24 family
A7T7J9	A7T7J9_NEMVE	Enolase family
A7T837	A7T837_NEMVE	ALG6/ALG8 glucosyltransferase family
A7T856	A7T856_NEMVE	Eukaryotic ribosomal protein eS28 family
A7T8C2	A7T8C2_NEMVE	Histone H1/H5 family
A7T8C4	A7T8C4_NEMVE	Histone H3 family
A7T8J2	A7T8J2_NEMVE	Pterin-4-alpha-carbinolamine dehydratase family
A7T8K2	A7T8K2_NEMVE	
A7T8W8	A7T8W8_NEMVE	Sulfiredoxin family
A7T8X7	A7T8X7_NEMVE	Triosephosphate isomerase family
A7T9Q2	A7T9Q2_NEMVE	OSTC family
A7T9R9	A7T9R9_NEMVE	EGF domain peptide family
A7T9V3	A7T9V3_NEMVE	APP family
A7T9X8	A7T9X8_NEMVE	
A7TAG3	A7TAG3_NEMVE	Peptidase M10A family
A7TAI1	A7TAI1_NEMVE	
A7TAJ4	A7TAJ4_NEMVE	Histone H4 family
A7TAM7	A7TAM7_NEMVE	Histone H4 family
